Name,Timestamp
LBT22IT015,2025-03-20 13:18:12
LBT22IT001,2025-03-20 13:12:37
LBT22IT001,2025-03-20 13:22:39
LBT22IT015,2025-03-20 13:18:28
LBT22IT015,2025-03-20 13:11:40
LBT22IT001,2025-03-20 13:20:41
LBT22IT001,2025-03-20 13:30:19
LBT22IT015,2025-03-20 13:15:34
LBT22IT001,2025-03-20 13:16:33
LBT22IT015,2025-03-20 13:18:56
LBT22IT015,2025-03-20 13:19:44
LBT22IT015,2025-03-20 13:12:33
LBT22IT001,2025-03-20 13:12:48
LBT22IT015,2025-03-20 13:11:42
LBT22IT015,2025-03-20 13:31:02
LBT22IT015,2025-03-20 13:18:54
LBT22IT015,2025-03-20 13:20:27
LBT22IT001,2025-03-20 13:12:44
LBT22IT015,2025-03-20 13:29:55
LBT22IT015,2025-03-20 13:14:06
LBT22IT015,2025-03-20 13:12:13
LBT22IT001,2025-03-20 13:19:21
LBT22IT015,2025-03-20 13:14:58
LBT22IT001,2025-03-20 13:30:28
LBT22IT015,2025-03-20 13:20:09
LBT22IT001,2025-03-20 13:12:27
LBT22IT015,2025-03-20 13:14:44
LBT22IT001,2025-03-20 13:30:29
LBT22IT001,2025-03-20 13:13:33
LBT22IT001,2025-03-20 13:20:59
LBT22IT015,2025-03-20 13:13:32
LBT22IT015,2025-03-20 13:12:18
LBT22IT015,2025-03-20 13:17:22
LBT22IT001,2025-03-20 13:18:52
LBT22IT015,2025-03-20 13:15:47
LBT22IT001,2025-03-20 13:15:08
LBT22IT001,2025-03-20 13:19:09
LBT22IT015,2025-03-20 13:13:56
LBT22IT015,2025-03-20 13:16:01
LBT22IT015,2025-03-20 13:14:24
LBT22IT015,2025-03-20 13:14:18
LBT22IT015,2025-03-20 13:15:41
LBT22IT015,2025-03-20 13:13:09
LBT22IT015,2025-03-20 13:20:04
LBT22IT001,2025-03-20 13:14:36
LBT22IT001,2025-03-20 13:15:37
LBT22IT001,2025-03-20 13:20:54
LBT22IT001,2025-03-20 13:12:53
LBT22IT001,2025-03-20 13:22:11
LBT22IT001,2025-03-20 13:19:49
LBT22IT015,2025-03-20 13:30:15
LBT22IT015,2025-03-20 13:13:51
LBT22IT015,2025-03-20 13:13:58
LBT22IT015,2025-03-20 13:18:56
LBT22IT001,2025-03-20 13:17:05
LBT22IT001,2025-03-20 13:22:40
LBT22IT015,2025-03-20 13:17:32
LBT22IT015,2025-03-20 13:30:23
LBT22IT001,2025-03-20 13:22:45
LBT22IT015,2025-03-20 13:15:20
LBT22IT001,2025-03-20 13:19:50
LBT22IT001,2025-03-20 13:16:06
LBT22IT001,2025-03-20 13:13:11
LBT22IT001,2025-03-20 13:19:42
LBT22IT001,2025-03-20 13:22:43
LBT22IT001,2025-03-20 13:15:30
LBT22IT001,2025-03-20 13:19:21
LBT22IT001,2025-03-20 13:11:38
LBT22IT015,2025-03-20 13:20:41
LBT22IT015,2025-03-20 13:19:52
LBT22IT001,2025-03-20 13:16:14
LBT22IT015,2025-03-20 13:19:50
LBT22IT015,2025-03-20 13:22:28
LBT22IT001,2025-03-20 13:15:45
LBT22IT001,2025-03-20 13:19:57
LBT22IT015,2025-03-20 13:22:02
LBT22IT001,2025-03-20 13:11:21
LBT22IT015,2025-03-20 13:14:15
LBT22IT015,2025-03-20 13:17:01
LBT22IT015,2025-03-20 13:16:56
LBT22IT015,2025-03-20 13:18:59
LBT22IT001,2025-03-20 13:17:30
LBT22IT015,2025-03-20 13:18:23
LBT22IT015,2025-03-20 13:14:25
LBT22IT015,2025-03-20 13:12:58
LBT22IT001,2025-03-20 13:31:06
LBT22IT015,2025-03-20 13:11:48
LBT22IT001,2025-03-20 13:19:03
LBT22IT015,2025-03-20 13:31:11
LBT22IT001,2025-03-20 13:20:01
LBT22IT001,2025-03-20 13:15:52
LBT22IT001,2025-03-20 13:18:50
LBT22IT001,2025-03-20 13:16:28
LBT22IT001,2025-03-20 13:19:46
LBT22IT001,2025-03-20 13:11:46
LBT22IT015,2025-03-20 13:13:05
LBT22IT001,2025-03-20 13:21:00
LBT22IT015,2025-03-20 13:16:47
LBT22IT015,2025-03-20 13:15:19
LBT22IT001,2025-03-20 13:14:58
LBT22IT015,2025-03-20 13:21:44
LBT22IT015,2025-03-20 13:14:01
LBT22IT015,2025-03-20 13:15:14
LBT22IT015,2025-03-20 13:18:44
LBT22IT001,2025-03-20 13:16:19
LBT22IT015,2025-03-20 13:19:05
LBT22IT001,2025-03-20 13:21:01
LBT22IT015,2025-03-20 13:22:19
LBT22IT001,2025-03-20 13:17:21
LBT22IT015,2025-03-20 13:20:15
LBT22IT015,2025-03-20 13:17:04
LBT22IT015,2025-03-20 13:16:30
LBT22IT015,2025-03-20 13:21:33
LBT22IT001,2025-03-20 13:11:50
LBT22IT015,2025-03-20 13:20:40
LBT22IT015,2025-03-20 13:16:00
LBT22IT015,2025-03-20 13:12:00
LBT22IT015,2025-03-20 13:20:51
LBT22IT015,2025-03-20 13:30:57
LBT22IT015,2025-03-20 13:17:20
LBT22IT001,2025-03-20 13:30:06
LBT22IT001,2025-03-20 13:13:38
LBT22IT015,2025-03-20 13:30:57
LBT22IT001,2025-03-20 13:19:15
LBT22IT015,2025-03-20 13:14:01
LBT22IT015,2025-03-20 13:22:31
LBT22IT001,2025-03-20 13:22:21
LBT22IT015,2025-03-20 13:20:28
LBT22IT015,2025-03-20 13:15:26
LBT22IT001,2025-03-20 13:22:41
LBT22IT015,2025-03-20 13:22:49
LBT22IT001,2025-03-20 13:20:34
LBT22IT001,2025-03-20 13:16:10
LBT22IT015,2025-03-20 13:11:51
LBT22IT001,2025-03-20 13:21:29
LBT22IT001,2025-03-20 13:13:53
LBT22IT015,2025-03-20 13:29:58
LBT22IT015,2025-03-20 13:29:56
LBT22IT001,2025-03-20 13:21:26
LBT22IT015,2025-03-20 13:13:00
LBT22IT015,2025-03-20 13:19:53
LBT22IT015,2025-03-20 13:12:16
LBT22IT001,2025-03-20 13:12:24
LBT22IT001,2025-03-20 13:12:52
LBT22IT001,2025-03-20 13:20:27
LBT22IT001,2025-03-20 13:12:26
LBT22IT015,2025-03-20 13:22:42
LBT22IT001,2025-03-20 13:17:16
LBT22IT015,2025-03-20 13:20:08
LBT22IT001,2025-03-20 13:22:22
LBT22IT001,2025-03-20 13:16:44
LBT22IT015,2025-03-20 13:12:43
LBT22IT001,2025-03-20 13:15:51
LBT22IT001,2025-03-20 13:13:50
LBT22IT015,2025-03-20 13:12:24
LBT22IT015,2025-03-20 13:15:36
LBT22IT015,2025-03-20 13:29:54
LBT22IT015,2025-03-20 13:16:07
LBT22IT001,2025-03-20 13:12:33
LBT22IT001,2025-03-20 13:19:46
LBT22IT001,2025-03-20 13:17:48
LBT22IT015,2025-03-20 13:15:10
LBT22IT015,2025-03-20 13:13:18
LBT22IT001,2025-03-20 13:15:48
LBT22IT001,2025-03-20 13:12:49
LBT22IT001,2025-03-20 13:16:50
LBT22IT001,2025-03-20 13:13:45
LBT22IT015,2025-03-20 13:30:56
LBT22IT001,2025-03-20 13:22:09
LBT22IT001,2025-03-20 13:21:04
LBT22IT001,2025-03-20 13:19:51
LBT22IT001,2025-03-20 13:13:53
LBT22IT001,2025-03-20 13:14:04
LBT22IT015,2025-03-20 13:20:09
LBT22IT001,2025-03-20 13:22:51
LBT22IT015,2025-03-20 13:20:28
LBT22IT001,2025-03-20 13:16:32
LBT22IT015,2025-03-20 13:17:42
LBT22IT001,2025-03-20 13:19:52
LBT22IT015,2025-03-20 13:14:24
LBT22IT001,2025-03-20 13:21:50
LBT22IT015,2025-03-20 13:13:51
LBT22IT015,2025-03-20 13:15:28
LBT22IT001,2025-03-20 13:20:32
LBT22IT001,2025-03-20 13:19:37
LBT22IT001,2025-03-20 13:13:01
LBT22IT015,2025-03-20 13:18:35
LBT22IT015,2025-03-20 13:18:23
LBT22IT015,2025-03-20 13:15:36
